337763100	-844082060	272.04	3	132	-0.32	-0.33	-0.13	232.61	331	5622	271.50	0.07	0.00	0.08	1.33	3.51	4.98	349.94	22730
337763091	-844082073	272.13	3	132	-0.33	-0.32	-0.11	228.47	332	5536	271.51	0.09	0.11	0.07	0.98	3.37	5.54	347.21	22830
337763095	-844082080	272.22	3	132	-0.24	-0.31	-0.10	230.68	329	5449	271.49	0.11	0.07	0.06	0.98	2.20	5.70	342.03	22930
337763100	-844082083	272.28	3	132	-0.15	-0.25	-0.08	233.80	327	5368	271.50	0.11	0.06	0.02	0.99	1.17	5.31	338.94	23030
337763100	-844082083	272.28	3	132	-0.15	-0.25	-0.08	233.80	327	5368	271.48	0.10	0.07	0.04	0.95	0.68	4.99	337.98	23130
337763100	-844082090	272.35	3	132	-0.04	-0.28	-0.08	242.89	310	5294	271.42	0.06	0.05	0.05	0.99	0.64	4.96	338.66	23231
337763098	-844082100	272.44	3	132	-0.10	-0.31	-0.09	248.49	331	5235	271.44	0.02	0.06	0.02	0.97	0.58	4.91	339.37	23331
337763095	-844082109	272.51	3	132	-0.15	-0.32	-0.10	246.78	338	5180	271.42	-0.01	0.05	0.01	0.95	0.53	4.88	340.09	23431
337763090	-844082119	272.57	3	132	-0.14	-0.32	-0.10	246.54	318	5124	271.44	-0.03	0.04	0.02	1.00	0.34	4.75	340.81	23531
337763090	-844082119	272.57	3	132	-0.14	-0.32	-0.10	246.54	318	5124	271.43	-0.04	0.04	0.02	0.99	0.09	4.60	341.52	23631
337763083	-844082128	272.60	3	132	-0.19	-0.28	-0.08	240.79	309	5067	271.46	-0.05	0.06	0.03	0.98	0.07	4.60	342.24	23731
337763076	-844082137	272.62	3	132	-0.30	-0.34	-0.08	232.21	305	5011	271.39	-0.07	0.05	0.03	0.98	0.04	4.58	342.95	23831
337763071	-844082145	272.63	3	132	-0.33	-0.38	-0.07	230.28	308	4961	271.43	-0.07	0.05	0.00	0.97	-0.02	4.57	343.66	23931
337763068	-844082151	272.65	3	131	-0.29	-0.40	-0.07	232.29	298	4910	271.49	-0.07	0.07	0.01	0.99	-0.07	4.58	344.36	24031
337763068	-844082151	272.65	3	131	-0.29	-0.40	-0.07	232.29	298	4910	271.51	-0.04	0.05	-0.00	0.98	-0.12	4.58	344.72	24130
337763065	-844082156	272.69	3	131	-0.32	-0.38	-0.07	231.23	301	4860	271.53	0.01	0.03	-0.03	1.01	-0.27	4.53	345.47	24231
337763064	-844082160	272.70	3	131	-0.29	-0.34	-0.07	230.32	293	4812	271.55	0.06	0.07	0.06	0.99	-1.07	4.00	346.15	24330
